price,bedrooms,beds,cleaning_fee,guests_included,maximum_nights,minimum_nights,property_type,room_type,review_scores,street,country,country_code,availability_30,availability_60,availability_90,availability_365,latitude,longitude
172,2,2,0,1,1125,1,Apartment,Entire home/apt,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-22.8914217,-43.21872246
125,1,1,50,1,1125,1,Apartment,Entire home/apt,95,"New York, NY, United States",United States,US,1,1,1,66,40.76438,-73.99482
1484,1,1,300,1,1125,1,Apartment,Entire home/apt,98,"Sheung Wan, Hong Kong Island, Hong Kong",Hong Kong,HK,0,0,0,0,22.28354,114.14881
47,1,1,20,1,30,2,Apartment,Private room,93,"Brooklyn, NY, United States",United States,US,15,42,42,100,40.6536,-73.94883
500,4,5,150,1,60,7,House,Entire home/apt,93,"Newport, NSW, Australia",Australia,AU,28,58,88,363,-33.65212,151.31572
149,1,1,80,1,1125,2,Apartment,Private room,100,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-22.98376501,-43.19841687
597,1,3,0,1,2147483647,1,Apartment,Private room,76,"铜锣湾, 香港岛, Hong Kong",Hong Kong,HK,0,0,0,32,22.28186,114.18651
110,1,2,40,2,29,7,Townhouse,Entire home/apt,96,"Brooklyn, NY, United States",United States,US,1,9,25,300,40.69034,-73.95321
189,2,4,150,2,1125,4,House,Entire home/apt,87,"Kailua, HI, United States",United States,US,13,18,37,312,21.37812,-157.74147
99,1,1,50,2,1125,1,Apartment,Entire home/apt,93,"Honolulu, HI, United States",United States,US,28,58,88,88,21.2837,-157.83937
169,4,8,200,4,180,4,House,Entire home/apt,97,"Captain Cook, HI, United States",United States,US,5,21,40,215,19.20636,-155.89926
447,1,1,50,1,1125,2,Hostel,Private room,96,"九龍, 九龍, Hong Kong",Hong Kong,HK,9,32,62,62,22.30549,114.17127
119,1,1,75,2,1125,3,Apartment,Entire home/apt,84,"Darlinghurst, NSW, Australia",Australia,AU,0,0,0,0,-33.87521,151.22133
359,2,2,0,2,1125,2,House,Entire home/apt,94,"büyükada, İstanbul, Turkey",Turkey,TR,0,0,0,0,40.862,29.11608
90,1,1,25,1,60,1,House,Private room,91,"Jamaica , NY, United States",United States,US,30,60,90,365,40.68135,-73.77835
105,1,1,0,1,1125,1,House,Private room,98,"Volcano, HI, United States",United States,US,30,60,85,360,19.43344,-155.2403
59,1,1,25,1,360,30,Apartment,Private room,98,"Brooklyn, NY, United States",United States,US,29,59,89,364,40.63199,-74.02972
200,1,1,125,1,90,30,Apartment,Entire home/apt,100,"New York, NY, United States",United States,US,0,7,13,117,40.72808,-73.98763
91,2,3,0,1,1125,32,Apartment,Entire home/apt,0,"Barcelona, Catalunya, Spain",Spain,ES,18,48,78,287,41.37724,2.17831
91,2,3,0,1,1125,32,Apartment,Entire home/apt,80,"Barcelona, Catalunya, Spain",Spain,ES,14,44,74,283,41.37783,2.17774
47,1,1,0,1,1125,7,Apartment,Private room,100,"Kadıköy, İstanbul, Turkey",Turkey,TR,29,59,89,364,40.99459,29.03075
189,1,1,80,2,28,4,Apartment,Entire home/apt,98,"Brooklyn, NY, United States",United States,US,11,17,30,276,40.68779,-73.98517
